acks;aveLatency;batchSize;batchSizeAvg;maxLatency;partitions;publishRate;recPerReqAvg;recSendRate;reqLatAvg;reqLatMax;sentMessages;parti;rate;batchesRation;rm1;rm2;rm3;rm4;rm5;rm6;rm7;rm8;rm9;rm10;rm11;rm12;rm13;rm14;rm15;rm16;rm17;rm18;rm19;rm20;tm1;tm2;tm3;tm4;tm5;tm6;tm7;tm8;tm9;tm10;tm11;tm12;tm13;tm14;tm15;tm16;tm17;tm18;tm19;tm20;rate_min;rate_max;rate_avg;thro_min;thro_max;thro_avg
0;1231.36;131072;130108.38;5809.75;1;0.31;124.99;18821.1;;;25642997;part=1;rate=50000;99.26481628417969;90637.75;94989.31;100397.4;111463.15;111271.35;103621.83;96013.3;98588.70999999999;97480.0;99572.2;100597.59;97647.18;98652.8;96521.43000000001;94263.98;88905.74;59481.4;21324.36;20757.72;20849.55;88.53;92.77;98.06;108.85;108.66;101.19;93.76;96.28;95.19;97.23;98.24;95.35000000000001;96.34;94.27;92.05;86.83;58.09;20.82;20.27;20.35;20757.72;111463.15;85151.8375;20.27;108.85;83.15649999999997
0;991.49;131072;44551.48;8554.75;10;0.31;120.6;88990.23;;;29310458;part=10;rate=50000;33.990081787109375;110573.48999999999;115568.33;114105.45;112638.37;110731.1;108504.57;105566.24;100406.09999999999;89117.64;89136.61;89122.0;89127.51;89146.4;89159.26;89049.93;89167.7;89087.55;89142.56;89126.57;89134.5;107.99;112.87;111.43;109.99;108.14;105.97;103.09;98.06;87.03;87.06;87.04;87.03999999999999;87.05;87.06;86.96000000000001;87.08;87.0;87.06;87.05;87.05000000000001;89049.93;115568.33;97380.59400000001;86.96000000000001;112.87;95.10099999999998
all;1412.52;131072;61201.2;10354.25;10;0.36;159.01;77824.05;50.96;346.25;24022532;part=10;rate=50000;46.69281005859375;71723.2;80862.31;80081.89;77588.64;79525.86;80543.85;80204.71;82013.4;81118.31;80412.48;75549.19;81886.22;80223.27;81532.03;79343.07;79377.41;80170.74;80868.59;80245.2;80850.32;70.03;78.97;78.21000000000001;75.77000000000001;77.67;78.65;78.32;80.1;79.22;78.53;73.79;79.97;78.34;79.61;77.49000000000001;77.50999999999999;78.29;78.97;78.37;78.95;71723.2;82013.4;79706.0345;70.03;80.1;77.838
all;1798.92;131072;130116.03;3084.5;1;0.33;124.99;52791.22;25.25;589.75;16059180;part=1;rate=50000;99.2706527709961;45433.18;54850.53999999999;55356.79;49415.490000000005;55630.05;51798.6;55542.73;53242.87;54098.73;55359.520000000004;50323.79;55131.72;51573.67;55765.27;55506.6;50790.3;55898.509999999995;50023.770000000004;56235.31;51834.52;44.37;53.56;54.07;48.25;54.33;50.58;54.239999999999995;51.980000000000004;52.83;54.07;49.14;53.84;50.36;54.449999999999996;54.21;49.6;54.59;48.86;54.92;50.620000000000005;45433.18;56235.31;53190.598;44.37;54.92;51.94350000000001
all;4758.63;16384;15660.71;6028.5;1;0.33;15.0;23187.94;12.43;34.25;7064444;part=1;rate=50000;95.58538818359375;16462.77;23687.82;24004.34;23839.38;23677.36;22710.98;21565.61;22592.34;23681.32;24046.4;23876.4;23818.44;23429.44;23972.4;23751.36;24086.42;23517.34;23579.4;23845.4;24022.36;16.08;23.14;23.439999999999998;23.28;23.12;22.17;21.060000000000002;22.060000000000002;23.12;23.479999999999997;23.32;23.26;22.880000000000003;23.42;23.2;23.52;22.97;23.02;23.29;23.46;16462.77;24086.42;23208.364;16.08;23.52;22.664499999999997
0;938.06;16384;15660.9;1551.5;1;0.32;15.0;87945.97;;;29740605;part=1;rate=50000;95.5865478515625;101294.3;106770.03;106561.90000000001;106789.38;105349.65;105143.15;103904.45;102790.06;100222.08;101907.67;100007.7;99354.54000000001;97945.64;96507.55;93504.51999999999;93249.46;87236.42;89988.17;88376.37;88941.53;98.92;104.25999999999999;104.06;104.28;102.89;102.68;101.47;100.38;97.87;99.52;97.67;97.02000000000001;95.65;94.24;91.31;91.07;85.2;87.88;86.31;86.86;87236.42;106789.38;98792.22849999998;85.2;104.28;96.47699999999999
1;990.09;16384;15660.82;1675.25;1;0.3;15.0;88660.39;2.96;170.5;29681672;part=1;rate=50000;95.5860595703125;102093.52;108538.28;105929.01;105182.16;104324.18000000001;102839.1;103709.37;104610.43000000001;104381.45999999999;102407.28;100957.35;124069.15;99200.65;94781.7;90071.46;88675.38;88401.56;88878.67;88652.87;88782.01999999999;99.71;105.99000000000001;103.44;102.71;101.89;100.43;101.28;102.16;101.94;100.0;98.6;121.16999999999999;96.88;92.56;87.95;86.6;86.33;86.8;86.57;86.71;88401.56;124069.15;99824.28;86.33;121.16999999999999;97.48599999999998
1;950.53;16384;9535.0;9113.5;10;0.3;24.64;88326.53;12.09;194.5;29110686;part=10;rate=50000;58.197021484375;109455.17;113819.28;113004.16;111532.69;109759.91;107924.29000000001;105143.83;101096.25;90289.36;88415.68;88407.03;88406.08;88403.27;88405.19;88389.83;88361.8;88450.57;88401.16;88409.1;88415.89;106.9;111.14999999999999;110.35;108.92;107.19;105.4;102.68;98.72;88.18;86.35;86.33;86.34;86.34;86.34;86.32;86.3;86.38;86.34;86.34;86.35;88361.8;113819.28;96724.527;86.3;111.14999999999999;94.46099999999997
1;969.37;32768;15097.18;7179.25;10;0.31;38.23;88614.18;12.3;166.25;29215167;part=10;rate=50000;46.07293701171875;109733.0;114525.21;113368.11;112154.97;110155.62;108024.70999999999;105202.65;101260.68;90677.48999999999;88719.15;88718.15;88815.54000000001;88739.33;88711.43;88785.67;88740.14;88751.73999999999;88735.86;88760.95;88743.63;107.16;111.84;110.71000000000001;109.52;107.58;105.49;102.74000000000001;98.89;88.54;86.64;86.64;86.74000000000001;86.65;86.64;86.71;86.66;86.67;86.65;86.68;86.66;88711.43;114525.21;97066.2015;86.64;111.84;94.79050000000004
0;922.0;524288;117634.16;12936.25;10;0.3;282.51;89078.49;;;29346079;part=10;rate=50000;22.436935424804688;111340.76;114777.14;114328.25;112667.59;110791.68;108756.24;105727.38;100992.2;89525.91;89234.61;89283.23999999999;89118.69;89199.75;89148.26;89342.74;89263.47;89210.16;89109.54000000001;89170.32;89192.46;108.74;112.09;111.65;110.03;108.2;106.21;103.24;98.63;87.42;87.14999999999999;87.19;87.03;87.11;87.06;87.25;87.17;87.13;87.02;87.08;87.1;89109.54000000001;114777.14;97509.0195;87.02;112.09;95.225
